1832565,A Nightmare on Elm Street (2010),57798,5.2
1832567,A Nightmare on Elm Street 3: Dream Warriors (1987),35621,6.5
1832568,A Nightmare on Elm Street 4: The Dream Master (1988),26613,5.6
1832569,A Nightmare on Elm Street Part 2: Freddy's Revenge (1985),30904,5.2
1832570,A Nightmare on Elm Street: The Dream Child (1989),21809,5.0
1832960,A Passage to India (1984),10205,7.4
1833125,A Perfect Getaway (2009),45716,6.5
1833141,A Perfect Murder (1998),53096,6.4
1833162,A Perfect World (1993),46219,7.5
1833436,A Place in the Sun (1951),11891,7.9
1833738,A Prairie Home Companion (2006),17743,6.8
1834680,A River Runs Through It (1992),32837,7.3
1834818,A Room with a View (1985),22942,7.5
1835124,A Scanner Darkly (2006),72888,7.1
1835381,A Serious Man (2009),78030,7.0
1835584,A Shot in the Dark (1964),15851,7.6
1835690,A Simple Plan (1998),42428,7.6
1835736,A Single Man (2009),64512,7.6
1836200,A Sound of Thunder (2005),14291,4.1
1836653,A Streetcar Named Desire (1951),63212,8.1
1837463,A Thousand Words (2012),22686,5.9
1837592,A Time to Kill (1996),73884,7.3
1838421,A Very Harold & Kumar 3D Christmas (2011),43147,6.4
1838571,A View to a Kill (1985),51508,6.3
1838894,A Walk in the Clouds (1995),19361,6.6
1838940,A Walk to Remember (2002),113847,7.4
1839104,A Wednesday (2008),14842,8.5
1840175,A.R.O.G (2008),11878,7.2
1883335,ATM (2012),13784,4.6
1887095,AVP: Alien vs. Predator (2004),110002,5.5
1887100,AVPR: Aliens vs Predator - Requiem (2007),73628,4.7
1840959,Aashiqui 2 (2013),11173,7.2
1841485,Abduction (2011),50259,4.9
1842168,About Schmidt (2002),91730,7.2
1842189,About Time (2013),60296,7.9
1842064,About a Boy (2002),115619,7.1
1842245,Above the Law (1988),17558,5.9
1842310,Abraham Lincoln: Vampire Hunter (2012),98070,6.0
1842350,Abre los ojos (1997),42789,7.9
1842589,Absolute Power (1997),32000,6.7
1843037,Accepted (2006),85266,6.5
1843330,Ace Ventura: Pet Detective (1994),154968,6.9
1843332,Ace Ventura: When Nature Calls (1995),115135,6.2
1843290,Ace in the Hole (1951),13821,8.2
1843943,Across the Universe (2007),77835,7.5
1844019,Act of Valor (2012),46443,6.5
1844623,Adam (2009),22498,7.3
1844755,Adam's Rib (1949),13128,7.6
1844794,Adams æbler (2005),24579,7.9
1844821,Adaptation. (2002),115004,7.8
1844886,Addams Family Values (1993),42390,6.5
1844953,Addicted to Love (1997),16970,6.1
1845548,Admission (2013),17351,5.7
1846103,Adventureland (2009),104000,6.9
1846134,Adventures in Babysitting (1987),21516,6.8
1846810,Affliction (1997),10250,7.0
1847450,After Earth (2013),99402,5.0
1847488,After Hours (1985),29426,7.7
1847834,After the Sunset (2004),32604,6.3
1847921,After.Life (2009),24264,6.0
1848602,Agent Cody Banks (2003),19919,5.0
1849030,Agora (2009),39543,7.2
1849201,"Aguirre, der Zorn Gottes (1972)",29813,8.0
1849635,Ai no korîda (1976),10156,6.6
1850204,Air America (1990),17692,5.6
1850213,Air Bud (1997),10032,5.0
1850245,Air Force One (1997),116315,6.4
1850427,Airheads (1994),30556,6.0
1850460,Airplane II: The Sequel (1982),26570,6.0
1850462,Airplane! (1980),118718,7.8
1850473,Airport (1970),10624,6.6
1850756,Ajeossi (2010),27200,7.9
1851160,Akeelah and the Bee (2006),12736,7.5
1851304,Akira (1988),72595,8.1
1851360,Akmareul boatda (2010),45944,7.8
1852363,Aladdin (1992),172071,8.0
1852546,Alan Partridge: Alpha Papa (2013),10998,7.2
1852885,Albert Nobbs (2011),14931,6.7
1853356,Alex Cross (2012),21021,5.1
1853425,Alexander (2004),112351,5.5
1853554,Alexis Zorbas (1964),12210,7.8
1853611,Alfie (2004),35957,6.2
1853869,Ali (2001),63272,6.7
1853923,Ali G Indahouse (2002),53972,6.2
1854206,Alice Doesn't Live Here Anymore (1974),12098,7.4
1854268,Alice in Wonderland (1951),67853,7.4
1854282,Alice in Wonderland (2010),223067,6.5
1854456,Alien (1979),382303,8.5
1854650,Alien: Resurrection (1997),125283,6.3
1854674,Aliens (1986),345619,8.5
1854699,Aliens in the Attic (2009),12684,5.4
1854742,Alien³ (1992),151534,6.4
1854885,Alive (1993),30143,7.0
1855083,All About Eve (1950),60110,8.4
1855128,All About Steve (2009),25646,4.8
1855345,All Dogs Go to Heaven (1989),18836,6.6
1855492,All Good Things (2010),28449,6.3
1855702,All Is Lost (2013),12766,7.1
1856000,All Quiet on the Western Front (1930),39883,8.1
1856177,All That Jazz (1979),15007,7.8
1855880,All of Me (1984),10872,6.7
1856223,All the Boys Love Mandy Lane (2006),19498,5.7
1856271,All the King's Men (2006),18230,6.2
1856298,All the President's Men (1976),56564,8.0
1857768,Almost Famous (2000),163170,8.0
1857794,Almost Heroes (1998),11099,5.7
1858114,Alone in the Dark (2005),33693,2.3
1858213,Along Came Polly (2004),86928,5.9
1858206,Along Came a Spider (2001),47716,6.3
1858357,Alpha Dog (2006),75362,6.9
1858419,"Alphaville, une étrange aventure de Lemmy Caution (1965)",12691,7.3
1858789,Altered States (1980),18609,6.9
1859022,Alvin and the Chipmunks (2007),41360,5.3
1859029,Alvin and the Chipmunks: Chipwrecked (2011),15850,4.3
1859031,Alvin and the Chipmunks: The Squeakquel (2009),22100,4.4
1859048,Always (1989),18300,6.4
1859571,Amadeus (1984),193433,8.4
1859917,Amarcord (1973),23001,8.0
1860238,Amazing Grace (2006),17029,7.5
1861073,America's Sweethearts (2001),41113,5.7
1861185,American Beauty (1999),587757,8.5
1861415,American Dreamz (2006),20833,5.5
1861504,American Gangster (2007),256784,7.8
1861513,American Gigolo (1980),12526,6.1
1861547,American Graffiti (1973),52236,7.5
1861595,American History X (1998),532730,8.6
1861621,American Hustle (2013),88936,7.7
1861738,American Movie (1999),11759,7.9
1861788,American Outlaws (2001),10796,5.9
1861808,American Pie (1999),248188,7.0
